"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","Section_0","Section_1","Section_10","Section_11","Section_12","Section_13","Section_16","Section_17","Section_18","Section_2","Section_3","Section_4","Section_5","Section_6","Section_7","Section_8","Section_9","Section_14","Section_15","Section_19","Section_20","Section_22","Section_23","Section_24","Section_25","Section_26","Section_27","Section_28","Section_29","Section_30","Section_31","Section_32","Section_33","Section_35","Section_36","Section_37"
2370789,"Maintenance Supervisor FTP2 (Day Shift)","https://jobs.smartrecruiters.com/FosterFarms/744000040598375-maintenance-supervisor-ftp2-day-shift-","Foster Farms","Turlock","No","5","Full time","2025-02-05T17:46:50.928088Z","Pay Range 81,450.00 to 101,825.00 per year.","Direct and supervise shifts maintenance for FTP plant 2.  Supervise maintenance department and attain department goals and standards, costs, productivity, quality, and safety.Perform frequent on-the-job inspections to ensure safe working habits, safe work areas, quality of workmanship, effectiveness of maintenance and repairs.Prepare work schedules and mechanic duty assignments as required to support the total maintenance program and the requirements of production and USDA personnel.Evaluate, prioritize and schedule maintenance repair requests to ensure timely completion of repair actions.Develop on-the-job training programs for new personnel, evaluate and document training records, develop training requirements for new equipment and develop skill-level up-grading test.Routinely inspect equipment for needed repairs and maintenance and repair requests.Responsible for continuous training programs as directed by the Maintenance Department Supervisor, to increase effectiveness of maintenance staff.Other duties as assigned.",,,,,,,,"Must have a B.S. degree or equivalent work experience.Must have five (5) years maintenance experience, of which at least 2 are in a production environment.Prior supervisory experience is preferred.Must have computer skills including CMMS and work order system, time keeping and Microsoft Office.Must have good communication skills  interpersonal skills.Must be able to work well with little supervision in a fast-paced environment.Must have strong electrical and mechanical skills.Must be able to submit and pass a criminal background test.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,,
2370787,"Quality Assurance Tech Live","https://jobs.smartrecruiters.com/FosterFarms/744000040599035-quality-assurance-tech-live","Foster Farms","Oregon City","No","Not specified","Full time","2025-02-05T17:46:50.928118Z","Par Rate 19.50 per hour","Purpose of Position   To ensure that the hatchery is producing a high quality chick by monitoring the entire hatchery process.  This is too be done by evaluating the egg pack, checking temperatures, monitoring fertility, scrutinizing the sanitation process, and other tasks that pertain to hatchery production.",,,"All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.",,,,"Decision Making Responsibilities   The Quality Control Rep. is to inform Maintenance, Leads, Supervisor, and the Manager of their findings. They should offer their suggestions and only implement them upon approval by appropriate personnel.","Working Relationships","Internally      There will be frequent contact with all hatchery employees, Supervisor, Manager, Fryer Production Manager, Company Lab employees, and Breeder operation employees to ensure a quality hatch.Externally  Some minimal contact with lab equipment vendors or hatchery equipment vendors.","Job Duties","Accurately calls and records the hatch residue from each hatcher.Responsible for the plating and plating results of each hatcherys sanitation program.  Also enters this information into the computer.Does Moisture Loss twice per week.Does Percentage chicks out twice a week.Random chick box counts and eggshell removal.Sets FME and monitors their fertility.Enters all data electronically as requested by supervisor.Mark all trays and machines with appropriate information for later sampling.Weekly animal welfare audits.Candling once per week.Egg pack evaluations 3 times per week.All other duties as requested by supervisor.","We offer our TEAM Members the following benefits","Medical, dental, and vision health insurance for themselves and their eligible dependents.Voluntary benefits such as Group Hospital Indemnity Insurance, Group Accident Coverage, Group Critical Illness Coverage, Individual Short-Term Disability Insurance, and Whole Life Insurance.Flexible Spending Accounts (Health Care FSA and Dependent Daycare FSA).Employee Assistance Program (EAP).College tuition reimbursement (70% tuition, 70% books, and 70% parking).401(k) Retirement Plan with a Company-contribution of up to 4%.Vacation, sick, holiday, funeral, and jury duty pay.","Must be able to make unbiased decision regarding results of each hatchery.Able to communicate in English. (Bilingual EnglishSpanish very helpful)Able to communicate with internal and external areas of company.Ability to work with no supervision and be self motivated.Ability to work in wet, dusty, and smelly environment.Must adhere to disease control policies.Must complete and pass pallet jack training course.Must be able to work a minimum of 8 hours standing with appropriate breaks on any shift.Must be able to lift a minimum of 30 lbs repetitively above shoulders and from below ankles.Must be able to operate a computer system for data entry.Must be timely with reports and make efficient use of time.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,
2370785,"Technical Lead","https://jobs.smartrecruiters.com/FosterFarms/744000040607493-technical-lead","Foster Farms","Livingston","No","10","Full time","2025-02-05T17:46:50.928146Z","Pay Rate 140,680 175,850 per year.","The Technical Lead will provide leadership, coordination, support and subject matter expertise for multiple assigned systems and modules (systems may include SAP and other systems supporting assigned business functions). This includes hands-on performing and coordinating the design, specification, configuration, customization, development, testing, documenting, and delivery. Responsible for support of software solutions relating to the master data, configuration, customization, reporting, and transactions associated with these processes. Provides senior technical guidance and assistance to other business systems team members, as well as business users.  Successfully functions as the highest-level technical resource within assign functions and as a technical leader within the IT Department.",,"With Sr IT Management makes independent decisions related to planning and managing strategic and tactical projects sponsored by the Company Executive team. This involves collaboration with the business sponsor(s) in the identification of potential projects, and direct involvement in all aspects of the prioritization, planning, initiation, execution, management, tracking, and closure of assigned projects in accordance with Foster Farms systems development life cycle methodology. The position requires day-to-day evaluation of the progress of multiple projects and multiple business functionssystems and making decisions with respect to scope management, solution design alternatives, staff assignments, issue resolution and any other activities necessary to successfully deliver projects on time, on budget and at a high level of quality.This position will work as a member of the Business Systems Team having daily contact with team members, subject matter experts, business end users, and business and IT management to design, develop, test, document, implement, and support the assigned projects and business solutions. This position will provide enterprise-wide support of these businessfunctional systemsmodules. Must be able to effectively influence IT and business staff at all organizational and management levels. Provide day-to-day direction to assigned project staff, including IT, non-IT Foster Farms personnel and vendor or other contract staff. Must build and maintain productive relationships with outside technology and service providers. Coordinates and leads efforts of IT Infrastructure and other Business Systems support staff.Additional duties as assigned by manager.","Bachelors degree or equivalent experience required. Masters degree preferred.At least 10 years total information technology experience, 7 years of which are related to the SAP andor other assigned systems.Must be capable of working to a structured work plan with aggressive milestones and have strong problem-solving skills, sound judgment, critical thinking, and decision-making ability.Must be highly goal and results orientated.Must be hightly self-motivated and driven - must be capable and willing to learn complex systems with minimal supervision.Extensive experience with all software development lifecycle phases and activities.Extensive experience learning and documenting complex business processes.Demonstrated project management experience for mid-sized projects.Must be effective teachermentor to educate other team members in SAP capabilities and best practices.Must possess excellent critical thinking skills and be capable of envisioning creative solutions to complex and challenging business processsystem issues.Must be able to communicate effectively with varying levels of management, users, and team members, both written and verbal.Excellent technical skills (e.g. SAP, MS Office suite, MS Project, etc.)Must possess specific and in-depth skills, knowledge, and experience with multiple facets of assigned systems that may include SAP ECCSpecific SAP and non-SAP systems, their design, processing, interfacingintegration and data.Master Data components utilized within assigned systems.Reporting and analytics utilized by assigned systems.Extensive experience with system integrations, especially SAP modules, which may include Finance and Controlling (FICO), Sales and Distribution (SD), Materials Management (MM), Production Planning (PP) and Manufacturing execution in both a Repetitive and Process Manufacturing Environment, Extended Warehouse Management (EWM), Transportation Management (TM), Project Systems (PS), Quality Management (QM)","Specific SAP and non-SAP systems, their design, processing, interfacingintegration and data.Master Data components utilized within assigned systems.Reporting and analytics utilized by assigned systems.Extensive experience with system integrations, especially SAP modules, which may include Finance and Controlling (FICO), Sales and Distribution (SD), Materials Management (MM), Production Planning (PP) and Manufacturing execution in both a Repetitive and Process Manufacturing Environment, Extended Warehouse Management (EWM), Transportation Management (TM), Project Systems (PS), Quality Management (QM)","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,"ESSENTIAL JOB FUNCTIONS","Project Analysis, System Design and Project Management","Definition of business problems and opportunities, gathering and documentation of requirements, analysis and organization of information to support formation of projects, analysis of technology and infrastructure alternatives and implications.Translation of a conceptual alternative into a descriptive model, specification, data flow diagram or other relevant method that defines the system components which must be delivered, and the method for delivering them. Includes functional design, technical design and design validation.This position will be responsible for project management of small to mid size projects and oversight of the project activities of other application support specialists and functional analysts.Direct the planning, execution and support of the assigned projects, including project initiation, control of projects during execution and project completionclosure. Ensure project plans are in accordance with overall business objectives. Prepare and maintain detailed and summary level project plans. Prepare periodic management status reports and lead status reporting meetings. Collect and monitor data portraying the status of deliverables related to key milestones. In conjunction with IT Management, identify the staff with the skills required for successful execution of projects. Enforce the disciplined use of Foster Farms methodology in the planning and management of all assigned projects. Track and manage project budget","SAPnon-SAP Production System Support","Will provide primary end user support for the assigned modules. This includes troubleshooting, diagnosis, and resolution of end user problems as well as performing routine system maintenance checks and corrective actions such as maintaining, adjusting, and manipulating interfaces to SAP or other assigned systems where applicable.Will contribute to ongoing system improvement efforts. This includes collecting requirements from business users, researching available solutions, developing and documenting conceptual design alternatives, communicating effectively conceptual designs, writing technical specifications and, potentially, coordinating development work with IT Development staff, building and configuring prototypes and prototype documentation, communicating with and educating business users, conducting unit testing, conducting and coordinating integration and user acceptance testing, working with security team to ensure appropriate system authorization, migrating to production, preparing comprehensive and thorough design and training documentation, training subject matter experts, providing post-implementation support efforts interacting regularly with end users, engaging in troubleshooting and root cause analysis of production issues, and providing continuous improvements to all aspects of design and processes.","Technical Team and Department Leadership","Will provide technical leadership, assistance, guidance, and QA monitoring to other application support specialists and functional analysts. Provides technical leadership and guidance to team management.  Through subject matter, application, and technical expertise, identifies, recommends, and socializes improvement and roadmap solutions with business and IT leadership.","Additional Job functions",,"All your information will be kept confidential according to EEO guidelines.",,,,,,,,,,,,,,,,,
2370783,"Inventory Clerk C Day shift","https://jobs.smartrecruiters.com/FosterFarms/744000040612676-inventory-clerk-c-day-shift","Foster Farms","Kelso","No","Not specified","Full time","2025-02-05T17:46:50.928175Z","Pay rates between 18.50-21.80 with a shift premium of 1.00 for hours worked from 700 PM and 1159PM and 2.00 for hours worked from 1200AM and 500AM.","We offer our TEAM Members the following benefits",,,,,,,,"Medical, dental, and vision health insurance for themselves and their eligible dependents.Voluntary benefits such as Group Hospital Indemnity Insurance, Group Accident Coverage, Group Critical Illness Coverage, Individual Short-Term Disability Insurance, and Whole Life Insurance.Flexible Spending Accounts (Health Care FSA and Dependent Daycare FSA).Employee Assistance Program (EAP).College tuition reimbursement (100% tuition, 80% books, and 100% parking).401(k) Retirement Plan with a Company-contribution of up to 4%.Vacation, sick, holiday, funeral, and jury duty pay.","JOB DUTIES","Receive materials in SAPIssue and transfer materials in sap check the bill of materials in SAPFix the Processing Good Movement with error.Report in SAP daily.Physically receive materials in warehouse.Physically issue materials to production.Verify materials received.Stock materials into warehouse.Communicate material issues with purchasing.Inspect quality of materials received.Answer phones, file and make delivery appointments.Verify SAP inventories.","High School Education or equivalent.Previous computer utilization required.Computer knowledge of Windows, SAP, Excel and Word desired.Ability to work independently.Valid PIT Certification Card.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,
2370780,"Fresh Days Coneline Shoulder Cutter","https://jobs.smartrecruiters.com/FosterFarms/744000040615523-fresh-days-coneline-shoulder-cutter","Foster Farms","Farmerville","No","Not specified","Full time","2025-02-05T17:46:50.928202Z","Make an accurate cut on every front half around the shoulder and along the scapula. Properly pull the breast downward to separate meat from the frame. Monitor and continuously improve cut while maintaining low scrape scores. Pay close attention to bones and remove as necessary. Sharpen knife blade as necessary, every 3 or 4 birds. Change out blades at each break. Responsible for preparing presentations for wing cutters.","Occasional walking bending at the waist twisting of the neck and waist. Frequent reaching at or below shoulder level. Constant standing bending at the neck power grasping fine manipulationfeeling pushingpulling reaching above and at shoulder level repetitive motion of shoulders, arms and hands use of vision  hearing. Work Environment Inside line work around loud equipmentmachinery walking around grates, hoses, foot baths exposure to dust, fumes  chemicals cold environment.",,,,,,,,"All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,,,
2370778,"Fresh Days Coneline Loader","https://jobs.smartrecruiters.com/FosterFarms/744000040624609-fresh-days-coneline-loader","Foster Farms","Farmerville","No","Not specified","Full time","2025-02-05T17:46:50.928238Z","Removes front half of carcass from back half and maintains supply of front halves to coneline","Must be able to work in coldhot climatesMust be able to stand for long periods of timeMust be able to go up and down stairsMust be able to use knives and scissorsMust be able to lift a minimum of 40lbs",,,,,,,,"Must be able to properly load cones, shoulder cut and wing cut as these positions will be rotating.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,,
2370776,"Rehang  Hanger Day Shift","https://jobs.smartrecruiters.com/FosterFarms/744000040627225-rehang-hanger-day-shift","Foster Farms","Kelso","No","Not specified","Full time","2025-02-05T17:46:50.928268Z","Pay rates between 19.00-23.50 with Attendance Premium of 0.25 and Shift Premiums of 1.50 and 1.00 for hours worked during swing and night shifts. Longevity premium of 0.25 after one year of service.","We offer our Team Members the following benefits",,,,,,,,"Medical, dental, and vision health insurance for themselves and their eligible dependents.Voluntary benefits such as Group Hospital Indemnity Insurance, Group Accident Coverage, Group Critical Illness Coverage, Individual Short-Term Disability Insurance, and Whole Life Insurance.Flexible Spending Accounts (Health Care FSA and Dependent Daycare FSA).Employee Assistance Program (EAP).College tuition reimbursement (100% tuition, 80% books, and 100% parking).401(k) Retirement Plan with a Company-contribution of up to 4%.Vacation, sick, holiday, funeral, and jury duty pay.","Essential Job Functions","Set up prior to shift start up, maintain smooth production flow and make adjustment as necessary for changes due to production type.Ensure that maintenance is notified of any machine malfunctions or required repairs.Maintain excellent housekeeping and assist other plant personnel in various areas of the plant as needed.Help maintain and improve quality and food safety to ensure compliance with company quality standards and USDA regulatory requirements.Conduct training of new employees and ongoing training with current employees.Direct employees to workstations as appropriate for production needs.Perform all jobs and tasks in a safe and productive manner.Other duties as assigned.","Report regularly and on time to work as well as work all required hours, including overtime and weekends as scheduled.Understand and follow established rules and procedures as well as accept constructive feedback. Work safely and set an example of good working safe habits.Follow established Good Manufacturing Practices (GMPs) and all Food Safety procedures.Work effectively with small, hand-held tools (i.e. knives, scissors).Bend, climb, stoop, and stand as necessary depending on assigned task(s).Repetitive grasping, cutting, reaching, lifting (between 3  5 lbs.)Repetitive pushing, pulling, and lifting between 10 - 80 lbs.Stand on concrete floor, grating, or metal stand for prolonged periods.Must be able to submit and pass a pre-employment drug test and background check.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,
2370774,"Supply Person PL57 Dept 329 Day- Belgravia","https://jobs.smartrecruiters.com/FosterFarms/744000040627255-supply-person-pl57-dept-329-day-belgravia","Foster Farms","Fresno","No","Not specified","Full time","2025-02-05T17:46:50.928316Z","Pay Rate 16.80 per hour","Shift 930am -600pm  OT",,,,,,,,"Additional .20 per hour for hours worked between 700pm and 1159pm.","Additional 1.00 per hour for hours worked between 1200am-459am","Responsible for supplying raw products and packaging materials to the Bag Fryer lines as needed to maintain production speed.Push a full stack of (6) gib tubs.Some work is performed in large refrigerators or freezers and the temperature is much lower in these areas.Transfer bins of giblets to the line with dollies and by liftingcarrying.Bags, pads, staples and other supplies are also supplied to the packaging portion of the line as needed.","Lift 80 pound full bins of productRegular, dependable attendance is an essential function of this positionWear appropriate PPE for the area of the facility.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,
2370772,"Cooler Worker PL57 Dept 364 Swing- Belgravia","https://jobs.smartrecruiters.com/FosterFarms/744000040627435-cooler-worker-pl57-dept-364-swing-belgravia","Foster Farms","Fresno","No","Not specified","Full time","2025-02-05T17:46:50.928335Z","Pay Rate 16.60 per hour","Shift Hours 2pm - 10 pm OT",,,,,,,,"Additional .20 per hour for hours worked between 700pm and 1159pm.","Additional 1.00 per hour for hours worked between 1200am-459am","Responsible for stacking all cased product that is being produced by the WP Dept onto wood pallets.Product is sorted by code, pre-price, and master order numbers.Stacker must make sure all boxes are sealed correctly and have a case label prior to being stacked on pallets.Read computer screen, designate product, pull orders, and read labels","Responsible for making sure that the boxes are stacked correctly.Must be able to lift 65 lbs.Must be able to work in 28oF cold environmentMust be able to stand and walk for prolong periods of time on a concretemetal grate floor.Must have good interpersonal skills and work well with others.Maintain management standards.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,
2370770,"Warehouse Worker - Burrel Fertilizer Plant (Day Shift)","https://jobs.smartrecruiters.com/FosterFarms/744000040627316-warehouse-worker-burrel-fertilizer-plant-day-shift-","Foster Farms","Riverdale","No","Not specified","Full time","2025-02-05T17:46:50.928353Z","Pay Rate 17.50 per hour (Additional 1.00 per hour for hours worked between 700pm and 1159pm. Additional 2.00 per hour for hours worked between 1200am-459am)","Essential Job Functions",,,,,,,,"Safely operate front-end loader, two axle tractor, and shuttle trailers to transport raw material to the plant in a safe efficient mannerSafely operate two axle tractors with trailer 40-foot trailerMaintain vehicles including daily inspections, service, clean-up, and reporting mechanical problems on Vehicle Inspection Reports.Operate forklift in a safe efficient manner for moving supplies. Bag filling and sealing, including changes to production codes This includes making sure we have correct bags for product, correct product codes, check weights on bags, and sampling as directed.Batching, weigh out ingredients, opening bags, ensure formulation correctWeighmaster duties as neededPerform general clean-up around the plant.Additional duties as assigned","Minimum Requirements","Expected duration of assignment is 10 monthsMust be a self-starter who does not need close supervisionMust have the ability to operate a forklift.Having strong numericalmechanical aptitudeMust be able to work varying shifts, weekends and holidays as neededMust be willing to rotate into various departments with varying job duties as neededAbility to read, write, understand, and verbally communicate in EnglishComplete assigned reports clearly and legiblyAbility to lift 80-100 lbs.Ability to climb ladders and work at heights above 106 feet and confined spacesAble to work rotating shifts, weekends and overtime as neededGood organizational and problem solve skills","Preferred Requirements","Commodities warehouse experience","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,
2370768,"Quality Assurance Representative - Cherry (Nights)","https://jobs.smartrecruiters.com/FosterFarms/744000040629125-quality-assurance-representative-cherry-nights-","Foster Farms","Fresno","No","Not specified","Full time","2025-02-05T17:46:50.928370Z","Pay Range 18.50 to 21.80 per hour","ESSENTIAL JOB FUNCTIONS",,,,,,,,"Monitor process and perform routine QA checks.Interface with line supervision and production workforce on production and quality procedures.Maintain process and quality documentation, to include conducting internal audits that may require the participation of management. Perform pre-operational sanitation inspection in area assigned.Maintain current operation instructions and quality control procedures by updating as new information is given and provide input from the floor for these instructions and procedures.Perform, monitor and evaluate compliance with USDA regulations other than those incorporated into daily routines. This position has the authority to hold product that does not conform to customer agreements, finished product specifications, or legal requirements and is also authorized to make decision regarding product disposition including release.","Must be able to communicate clearly in English (written and verbal).Must have a high school diploma or equivalent (GED).Proficient in mathematics.Proficient on a computer, Excel, Word and Outlook.Must have legible handwriting.Must have good interpersonal skills and communication skills. Must have an overall favorable employment record and attendance record.Must be able to work varying shifts, weekends and holidays as needed.Must be willing to rotate into various departments with varying QA related job duties as needed.Must be able to show up to work daily and be on-time to perform the duties of the position. Must be able to stand for prolonged periods of time (8-12 hours) on a concretemetal grate floor.Must be able to work in cold environments, 40 degrees or hot environment for a RTE plant, up to 100 degrees.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,
2370766,"CMS Debone Over CrewSwing Shift","https://jobs.smartrecruiters.com/FosterFarms/744000040630955-cms-debone-over-crew-swing-shift","Foster Farms","Kelso","No","Not specified","Full time","2025-02-05T17:46:50.928387Z","Pay rates between 19.00-23.50 with Attendance Premium of 0.25 and Shift Premiums of 0.50 and 1.00 for hours worked during swing and night shifts. Longevity premium of 0.25 after one year of service.","We offer our Team Members the following benefits","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,"Medical, dental, and vision health insurance for themselves and their eligible dependents.Voluntary benefits such as Group Hospital Indemnity Insurance, Group Accident Coverage, Group Critical Illness Coverage, Individual Short-Term Disability Insurance, and Whole Life Insurance.Flexible Spending Accounts (Health Care FSA and Dependent Daycare FSA).Employee Assistance Program (EAP).College tuition reimbursement (100% tuition, 80% books, and 100% parking).401(k) Retirement Plan with a Company-contribution of up to 4%.Vacation, sick, holiday, funeral, and jury duty pay.","Essential Job Functions","Use small hand-held tools (i.e., knives, scissors) to cut chicken into segments for product run.Pack product into foam trays andor plastic bags.Place labels and perform arrangement on trays filled with chicken parts.Repetitive grasping, pushing, and pulling motions while packing, cutting, and grading product.Rotate through various positions on production areas throughout the shift.Place empty trays and pads on the line.Visually inspect and grade chicken parts to determine grade for production lines.Work regularly in a cold or hot environment depending on designated work area.Communicate with Supervision, Lead personnel, and co-workers for assistance regarding assigned task(s), rotation, and production issues. Perform other duties as assigned.",,,"Report regularly and on time to work as well as work all required hours, including overtime and weekends as scheduled.Understand and follow established rules and procedures as well as accept constructive feedback. Work safely and set an example of good working safe habits.Follow established Good Manufacturing Practices (GMPs) and all Food Safety procedures.Work effectively with small, hand-held tools (i.e. knives, scissors).Bend, climb, stoop, and stand as necessary depending on assigned task(s).Repetitive grasping, cutting, reaching, lifting (between 3  5 lbs.)Repetitive pushing, pulling, and lifting between 10 - 80 lbs.Stand on concrete floor, grating, or metal stand for prolonged periods.Must be able to submit and pass a pre-employment drug test and background check.",,,,,,,,,,,,,,,,,,,,,
2366296,"Maintenance Supervisor (1st Shift)","https://jobs.smartrecruiters.com/FosterFarms/744000040401375-maintenance-supervisor-1st-shift-","Foster Farms","Demopolis","No","5","Full time","2025-02-05T17:46:50.928409Z","Directly oversee the daily activities of the Maintenance Technicians in order to ensure optimal operation of production equipment and production lines.","Direct and supervise shifts maintenance for the Demopolis Corn Dog facility. Supervise maintenance department and attain department goals and standards costs, productivity, quality, and safety.Perform frequent on-the-job inspections to ensure safe working habits, safe work areas, quality of workmanship, effectiveness of maintenance and repairs.Prepare work schedules and mechanic duty assignments as required to support the total maintenance program and the requirements of production and USDA personnel.Evaluate, prioritize and schedule maintenance repair requests to ensure timely completion of repair actions.Develop on-the-job training programs for new personnel, evaluate and document training records, develop training requirements for new equipment and develop skill-level up-grading test.Routinely inspect equipment for needed repairs and maintenance and repair requests.Responsible for continuous training programs as directed by the Maintenance Department Supervisor, to increase effectiveness of maintenance staff.Other duties as assigned.",,,,,,,,"Must have a B.S. degree or equivalent work experience.Must have five (5) years maintenance experience, of which at least 2 are in a production environment.Prior supervisory experience is preferred.Must have computer skills including CMMS and work order system, time keeping and Microsoft Office.Must have good communication skills  interpersonal skills.Must have the ability to work well with little supervision in a fast-paced environment.Must have strong electrical and mechanical skills.Must be able to submit and pass criminal background check.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,,
2366295,"Feed Mill Manager","https://jobs.smartrecruiters.com/FosterFarms/744000040401436-feed-mill-manager","Foster Farms","Arcadia","No","5","Full time","2025-02-05T17:46:50.928431Z","Responsible for the oversight and operations of all aspects, including training, teaching, and coaching of Team Members to ensure consistent implementation of best practices within the feed mill to support productivity, optimize efficiency and safeguard the well-being of all Team Members.Ensure the production and delivery of feed in the most efficient and economical manner. Prepare, submit and administer a control budget to contribute to the profitability of the company.Oversee matters pertaining to mill personnel (including but not limited to policies, procedures, hiring, safety awareness, training, etc.).Implement and ensure compliance with disease prevention and product Quality Control programs.Investigate and plan for new methods that would reduce costs in relation to equipment, energy, and manpower.Perform other duties as assigned.","BSBA Degree in Business Management, Ag Business or related field preferred. Must have a minimum of 3 years of mill experience and 5 years of supervisory experience and proven leadership skills.Good understanding of Preventative Maintenance, procedures, commodities and cost control.Excellent verbal and written communication skills. Must have knowledge of accounting principles.Must have strong technicalmechanical abilities, be able to troubleshoot.Good problem solving skills.Must have Inventory management experience.Must be a self-starter with hands-on experience in each area of the operations.Ability to meet and forecast changing production needs. Proficient use of PC including Excel and Word.",,,,,,,,"All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,,,
2360394,"Fresh Days Stacker (DMValvest)","https://jobs.smartrecruiters.com/FosterFarms/744000040320238-fresh-days-stacker-dm-valvest-","Foster Farms","Farmerville","No","Not specified","Full time","2025-02-05T17:46:50.928449Z","To be viable asset to the company and follow Food Safety, HACCP, USDA, work safely and abide by all Company rules and regulations.","Must be able to work in coldhot climatesMust be able to stand for long periods of timeMust be able to go up and down stairsMust be able to use knives and scissorsMust be able to lift a minimum of 40lbs",,,,,,,,"All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,,,
2360390,"Fresh Days Mega Jet Grader","https://jobs.smartrecruiters.com/FosterFarms/744000040319211-fresh-days-mega-jet-grader","Foster Farms","Farmerville","No","Not specified","Full time","2025-02-05T17:46:50.928467Z","To ensure that all product is graded to meet andor exceed customer requirements","Must be able to work in coldhot climatesMust be able to stand for long periods of timeMust be able to go up and down stairsMust be able to use knives and scissorsMust be able to lift a minimum of 40lbs",,,,,,,,"All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,,,
