"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","Section_0","Section_1","Section_2","Section_3","Section_4","Section_5","Section_6","Section_7","Section_8","Section_9","Section_10","Section_11","Section_12","Section_13","Section_14","Section_15","Section_16","Section_18","Section_19","Section_21","Section_22"
1958714,"Salesforce Technical Architect, GTM","https://job-boards.greenhouse.io/cresta/jobs/4421546008","Cresta","Bangalore","Yes","8","Full time","2025-02-05T02:10:37.182763Z","About the role","As a Salesforce Technical Architect reporting to the VP of Go-To-Market Operations, you'll play a pivotal role in enhancing our sales and marketing operations. Your deep understanding of Salesforce Flows and Go-To-Market processes will be essential in designing and implementing solutions that drive operational excellence. You'll collaborate closely with cross-functional teams and contribute to our agile development process. This is a remote role, to work PST hours only from a remote location in Bangalore, India.","Responsibilities","Design  Implement Salesforce Solutions Develop complex Salesforce Processes  Flows to automate and optimize business processes across sales, marketing, and customer success
Collaborate with GTM Teams Work closely with Go-To-Market teams to gather requirements and translate them into scalable technical solutions
Technical Leadership Provide architectural guidance and mentorship to developers and administrators, ensuring best practices in development and integration
Agile Methodologies Participate in sprint planning and work within agile frameworks to deliver projects on time
Cross-Functional Integration Collaborate with engineering and product teams to integrate Salesforce with Crestas AI-driven solutions via reverse ETL tools such as Hex, Hightouch, or Census
Continuous Improvement Lead ongoing enhancements of Salesforce functionalities, focusing on innovation and scalability
Ensure Compliance  Security Maintain adherence to coding standards, data security measures, and Salesforce best practices","Qualifications We Value","Experience 8 years in Salesforce development and architecture, with a strong focus on Salesforce Flows and Go-To-Market processes
Technical Skills Extensive experience with the Salesforce Platform, including proficiency in Apex, Visualforce, Lightning Web Components, configuration (flows, custom objects,  validation rules), and integrations with other GTM tooling (Netsuite, CPQ, Outreach, etc). Proven ability to design  implement complex Salesforce architecture. Expert-level knowledge of Salesforce data modeling, automation,  integration patterns
Agile Experience Strong background in Agile project management  working with cross-functional teams with sprint planning and agile development methodologies
Leadership Abilities Proven ability to lead technical teams and manage complex projects remotely
Exceptional Communication As a remote organization, you have the ability to work with technical and non-technical teams to clearly convey complex concepts
Certifications Salesforce Certified Technical Architect, Application Architect, or System Architect preferred
Education Bachelor's degree in Computer Science, Engineering, or a related field
Communication Skills Excellent verbal and written communication skills, comfortable working across time zones
Remote Work PST hours only from a remote location","We have noticed a rise in recruiting impersonations across the industry, where scammers attempt to access candidates' personal and financial information through fake interviews and offers. All Cresta recruiting email communications will always come from the cresta.ai domain. Any outreach claiming to be from Cresta via other sources should be ignored.  If you are uncertain whether you have been contacted by an official Cresta employee, reach out to recruitingcresta.com.",,,,,,,,,,,,,,
1944260,"Software Engineer (Berlin, General Posting)","https://job-boards.greenhouse.io/cresta/jobs/4417005008","Cresta","Berlin","No","Not specified","Full time","2025-02-05T02:10:37.182806Z","Cresta is on a mission to turn every customer conversation into a competitive advantage by unlocking the true potential of the contact center. Our platform combines the best of AI and human intelligence to help contact centers discover customer insights and behavioral best practices, automate conversations and inefficient processes, and empower every team member to work smarter and faster. Born from the prestigious Stanford AI lab, Cresta's co-founder and chairman is Sebastian Thrun, the genius behind Google X, Waymo, Udacity, and more. Our leadership also includes CEO, Ping Wu, the co-founder of Google Contact Center AI and Vertex AI platform, and CTO  co-founder, Tim Shi, an early member of Open AI.","Join us on this thrilling journey to revolutionize the workforce with AI. The future of work is here, and it's at Cresta.","We're always looking for exceptional talent to join our team, even if we don't currently have the perfect role for you. By applying to this general posting, you'll be on our radar for future opportunities that match your skills and interests. When a role opens up that aligns with your expertise, you'll be among the first we consider.","Take the first stepsubmit your application today, and lets stay connected!","Responsibilities","Contribute to the design, development, and maintenance of scalable web applications and services.
Work across the stack, from front-end interfaces to back-end systems and cloud infrastructure.
Build and enhance APIs and integrations to support seamless functionality.
Write clean, efficient, and well-documented code, primarily using modern programming languages and frameworks (e.g., TypeScript, Go, React).
Implement and manage cloud-based solutions (e.g., AWS) and containerized applications using Kubernetes and Docker.
Collaborate with cross-functional teams to solve complex technical challenges and deliver impactful features.
Continuously improve system performance, reliability, and scalability.
Stay current with industry trends and emerging technologies to guide the evolution of our tech stack.","Experience working across the full stack, including front-end, back-end, and cloud technologies.
Proficiency with modern programming languages and frameworks (e.g., TypeScript, Go, React, or similar).
Familiarity with cloud platforms (e.g., AWS) and container orchestration tools like Kubernetes and Docker.
Strong understanding of software engineering principles, including code quality, testing, and system design.
Ability to troubleshoot, optimize, and maintain scalable applications.
Effective communication and collaboration skills within cross-functional teams.
A passion for learning and staying up-to-date with evolving technologies.
Bachelor's degree in Computer Science or equivalent experience.","Perks  Benefits","We offer Cresta employees a variety of medical, dental, and vision plans, designed to fit you and your familys needs
Paid parental leave to support you and your family
Monthly Health  Wellness allowance
PTO 28 days in Berlin","Compensation for this position includes a base salary, equity, and a variety of benefits. Actual base salaries will be based on candidate-specific factors, including experience, skillset, and location, and local minimum pay requirements as applicable. We are actively hiring for this role in the US and Canada. Your recruiter can provide further details.","We have noticed a rise in recruiting impersonations across the industry, where scammers attempt to access candidates' personal and financial information through fake interviews and offers. All Cresta recruiting email communications will always come from the cresta.ai domain. Any outreach claiming to be from Cresta via other sources should be ignored.  If you are uncertain whether you have been contacted by an official Cresta employee, reach out to recruitingcresta.com.",,,,,,,,,,
1944259,"Product Designer (AI Agent)","https://job-boards.greenhouse.io/cresta/jobs/4416492008","Cresta","Toronto","Yes","Not specified","Full time","2025-02-05T02:10:37.182827Z","Cresta is on a mission to turn every customer conversation into a competitive advantage by unlocking the true potential of the contact center. Our platform combines the best of AI and human intelligence to help contact centers discover customer insights and behavioral best practices, automate conversations and inefficient processes, and empower every team member to work smarter and faster. Born from the prestigious Stanford AI lab, Cresta's co-founder and chairman is Sebastian Thrun, the genius behind Google X, Waymo, Udacity, and more. Our leadership also includes CEO, Ping Wu, the co-founder of Google Contact Center AI and Vertex AI platform, and CTO  co-founder, Tim Shi, an early member of Open AI.","Join us on this thrilling journey to revolutionize the workforce with AI. The future of work is here, and it's at Cresta.","We seek driven designers to shape the future of AI Agent products at Cresta. Whether it's automating entire contact center conversations, performing tasks on behalf of agents, or coaching human agents to enhance their performance, you will play a crucial role. Your responsibilities will include designing the end-user experiences and the tools and workflows that enable these experiences.","As a designer at Cresta, you are at the forefront of a technological breakthrough with LLM and Generative AI. This unique position allows you to transform how people interact with AI meaningfully. You will own the end-to-end process, including product design, user research, and visual design elements, to create world-class experiences.","Youll generate novel UX ideas for AI Agents, considering the needs of various user personas.
Youll think through user and business problems, propose reasonable solutions, create detailed mockups, prototype to explore further and work with engineers to build them.
You're actively involved in defining product strategy and feature requirements.
You'll constantly talk to our customers from contact centers - gathering insights into user pain points before and during the development process, and validating features to improve usability.
Youll collaborate closely with Engineers, PMs, ML experts, Customer Success, and Sales.
Youll be the design advocate and push for the highest quality of the polish.
Youll constantly identify areas of opportunities and future work for the products.
Youll have good judgment of when to ship perfect is the enemy of good.","Bachelor's degree or equivalent in UX Design, HCI, or a related field.
Experience with designing AI Agents, Virtual Agents, or Conversational AI.
Experience with enterprise SaaS customers, contact centers, and data visualization.
Strong portfolio showcasing elegant design solutions for complex SaaS applications.
Proficiency in design tools such as Figma, with the ability to create interactive prototypes. Front-end development experience is a bonus.
Strong at product thinking  a blend of UX disciplines (interaction design, prototyping, visual design, and user research).
Have a deep curiosity about the underlying tech of our products.","We offer Cresta employees a variety of medical, dental, and vision plans, designed to fit you and your familys needs
Paid parental leave to support you and your family
Monthly Health  Wellness allowance
Work from home office stipend to help you succeed in a remote environment
Lunch reimbursement for in-office employees 
PTO 3 weeks in Canada","Compensation for this position includes a base salary, equity, and a variety of benefits. Actual base salaries will be based on candidate-specific factors, including experience, skillset, and location, and local minimum pay requirements as applicable. We are actively hiring for this role in the US and Canada. Your recruiter can provide further details.","We have noticed a rise in recruiting impersonations across the industry, where scammers attempt to access candidates' personal and financial information through fake interviews and offers. All Cresta recruiting email communications will always come from the cresta.ai domain. Any outreach claiming to be from Cresta via other sources should be ignored.  If you are uncertain whether you have been contacted by an official Cresta employee, reach out to recruitingcresta.com.",,,,,,,,,,,,
1939751,"Sales Development Representative, New York","https://job-boards.greenhouse.io/cresta/jobs/4414794008","Cresta","New York","No","1","Full time","2025-02-05T02:10:37.182846Z","About the role","Responsibilities","Grow Crestas customer list through personalized emails, calls, and creative social media outreach
Write effective and compelling messaging to engage targeted accounts
Work closely with Sales and Marketing to plan, strategize, and execute outreach campaigns that help drive revenue growth
Analyze market research data and develop strategic approaches to raise awareness and generate interest for Cresta
Partner with account executives to help generate meetings and sales pipeline
Create and prioritize target account and contact lists
Conduct high level conversations with executives in prospect accounts
Achieve monthly quotas of meetings, qualified opportunities, and pipeline generated.
Assist with drafting sales pitches, presentations, reference material, and other documents as required","Qualifications We Value","Bachelors degree in Business, Marketing, Communications, or related field
1 years prior sales experience (within a SoftwareHigh Tech company highly preferred)
Ability to work in a time-sensitive and high-volume environment
Highly competitive personality
A positive attitude Youre a team player and youre resilient in the face of challenges
Self-starter always looking for ways to do your job better. When you see an opportunity, you jump on it
Strong organizational skills with ability to effectively prioritize
Articulate with strong business acumen
Youre a clear, concise, and compelling storyteller across written, verbal, and visual","Perks  Benefits","We offer Cresta employees a variety of medical, dental, and vision plans, designed to fit you and your familys needs
Flexible vacation time to promote a healthy work-life blend
Paid parental leave to support you and your family
Monthly Gym  Phone allowance
Work from home office stipend to help you succeed in a remote environment
Lunches and dinners included for in-office employees via Grubhub","Compensation","Compensation for this position includes a base salary, commission, equity, and a variety of benefits. The U.S. base salary range for this role is an OTE of 80,000 - 90,000. Actual base salaries will be based on candidate-specific factors, including experience, skillset, and location, and local minimum pay requirements as applicable. We are actively hiring for this role in Canada, and offer competitive local pay and benefits. Your recruiter can provide further details.","We have noticed a rise in recruiting impersonations across the industry, where scammers attempt to access candidates' personal and financial information through fake interviews and offers. All Cresta recruiting email communications will always come from the cresta.ai domain. Any outreach claiming to be from Cresta via other sources should be ignored.  If you are uncertain whether you have been contacted by an official Cresta employee, reach out to recruitingcresta.com.",,,,,,,,,,,
1878649,"Strategic Sales Director, West","https://job-boards.greenhouse.io/cresta/jobs/4063410008","Cresta","Remote","Yes","7","Full time","2025-02-05T02:10:37.182865Z","About the role","Responsibilities","Own the sales experience while building and managing relationships with key decision-makers and executives at Fortune 500 companies
Run complex sales cycles from initial contact to close
Prospect for new clients, design product presentations and business cases, develop and deliver proposals, negotiate and close contracts
Develop a command of the Cresta product, the Contact Center market, our unique competitive differentiators, and our customers needs
Partner closely with Product, Marketing, Customer Success and Engineering to deliver an exceptional customer experience
Hit your number","Qualifications We Value","7 years of Saas software sales experience at an enterprise level 
Experience negotiating, structuring and executing complex enterprise-level agreements
Prior experience leading cross-functional teams through large deal close processes
Ability to articulate contractual, technical, and financial value points to customers, including executives
Excellent communication and presentation skills with experience presenting to C-level executives
Ability to travel up to 50%","Perks  Benefits","We offer Cresta employees a variety of medical, dental, and vision plans, designed to fit you and your familys needs
Flexible vacation time to promote a healthy work-life blend
Paid parental leave to support you and your family
Monthly Gym  Phone allowance
Work from home office stipend to help you succeed in a remote environment.
Lunches and dinners included for in-office employees via Grubhub","Compensation","Compensation for this position includes a base salary, variable (OKR), equity, and a variety of benefits. Actual base salaries will be based on candidate-specific factors, including experience, skillset, and location, and local minimum pay requirements as applicable. We are actively hiring for this role in USA, and offer competitive local pay and benefits. Your recruiter can provide further details.","We have noticed a rise in recruiting impersonations across the industry, where scammers attempt to access candidates' personal and financial information through fake interviews and offers. All Cresta recruiting email communications will always come from the cresta.ai domain. Any outreach claiming to be from Cresta via other sources should be ignored.  If you are uncertain whether you have been contacted by an official Cresta employee, reach out to recruitingcresta.com.",,,,,,,,,,,
1878648,"Strategic Sales Director, East","https://job-boards.greenhouse.io/cresta/jobs/4063408008","Cresta","New York","Yes","7","Full time","2025-02-05T02:10:37.182884Z","About the role","Responsibilities","Own the sales experience while building and managing relationships with key decision-makers and executives at Fortune 500 companies
Run complex sales cycles from initial contact to close
Prospect for new clients, design product presentations and business cases, develop and deliver proposals, negotiate and close contracts
Develop a command of the Cresta product, the Contact Center market, our unique competitive differentiators, and our customers needs
Partner closely with Product, Marketing, Customer Success and Engineering to deliver an exceptional customer experience
Hit your number","Qualifications We Value","7 years of Saas software sales experience at an enterprise level 
Experience negotiating, structuring and executing complex enterprise-level agreements
Prior experience leading cross-functional teams through large deal close processes
Ability to articulate contractual, technical, and financial value points to customers, including executives
Excellent communication and presentation skills with experience presenting to C-level executives
Ability to travel up to 50%","Perks  Benefits","We offer Cresta employees a variety of medical, dental, and vision plans, designed to fit you and your familys needs
Flexible vacation time to promote a healthy work-life blend
Paid parental leave to support you and your family
Monthly Gym  Phone allowance
Work from home office stipend to help you succeed in a remote environment.
Lunches and dinners included for in-office employees via Grubhub","Compensation","Compensation for this position includes a base salary, variable (OKR), equity, and a variety of benefits. Actual base salaries will be based on candidate-specific factors, including experience, skillset, and location, and local minimum pay requirements as applicable. We are actively hiring for this role in USA, and offer competitive local pay and benefits. Your recruiter can provide further details.","We have noticed a rise in recruiting impersonations across the industry, where scammers attempt to access candidates' personal and financial information through fake interviews and offers. All Cresta recruiting email communications will always come from the cresta.ai domain. Any outreach claiming to be from Cresta via other sources should be ignored.  If you are uncertain whether you have been contacted by an official Cresta employee, reach out to recruitingcresta.com.",,,,,,,,,,,
1878647,"Staff Machine Learning Engineer (Virtual Agents)","https://job-boards.greenhouse.io/cresta/jobs/4249943008","Cresta","Toronto","Yes","7","Full time","2025-02-05T02:10:37.182914Z","Cresta is on a mission to turn every customer conversation into a competitive advantage by unlocking the true potential of the contact center. Our platform combines the best of AI and human intelligence to help contact centers discover customer insights and behavioral best practices, automate conversations and inefficient processes, and empower every team member to work smarter and faster. Born from the prestigious Stanford AI lab, Cresta's co-founder and chairman is Sebastian Thrun, the genius behind Google X, Waymo, Udacity, and more. Our leadership also includes CEO, Ping Wu, the co-founder of Google Contact Center AI and Vertex AI platform, and CTO  co-founder, Tim Shi, an early member of Open AI.","Join us on this thrilling journey to revolutionize the workforce with AI. The future of work is here, and it's at Cresta.","At Cresta, the AI Agent team is on a mission to create state-of-the-art AI Agents that solve practical problems for our customers. We are focused on leveraging the latest technologies in Large Language Models (LLMs) and AI Agent systems, while ensuring that the solutions we develop are cost-effective, secure, and reliable. This role will involve hands-on work on cutting-edge projects, requiring innovative and passionate machine learning engineers who can bring research into practical, scalable applications.","As a Staff Machine Learning Engineer, your goal will be to take AI Agents from the realm of research and bring them into practical, real-world use cases. This includes developing and deploying proprietary LLMs, scaling AI solutions, and addressing key challenges such as evaluation and reliability. While were focused on real-world application rather than pure research, youll be working with some of the most advanced technologies in the GenAI space.","This is a unique opportunity to shape the future of AI at Cresta by solving complex problems and bringing breakthrough AI advancements into production environments.","Responsibilities","Design, develop, and deploy Crestas AI Agent solutions and proprietary models.
Focus on practical AI challenges such as improving reasoning, planning capabilities, and evaluation in real-world scenarios.
Collaborate with cross-functional teams including front-end and back-end software engineers to integrate AI Agents into Crestas customer solutions.
Lead initiatives to scale AI systems for production environments, ensuring performance and reliability across use cases.
Contribute to solving cutting-edge problems in AI and help define the future roadmap for Crestas AI Agents.
Innovate and research ways to improve security, cost-efficiency, and reliability of AI systems.","Bachelors Degree in Computer Science, Mathematics, or a related field Masters or Ph.D. preferred, or equivalent professional experience
7 years of hands-on industry experience with AI and machine learning, preferably with 3 years of experience working with LLMs in large-scale production environments
Expert knowledge of machine learning concepts and methods, especially those related to NLP, Generative AI, and working with LLMs
Proven leadership in designing and deploying AI solutions at scale, with a deep understanding of model optimization and real-time AI applications
Extensive practical knowledge of modern machine learning frameworks and technologies (e.g., PyTorch, Tensorflow, Hugging Face, NumPy), as well as experience with distributed systems and cloud-based AI infrastructure
Strong problem-solving and strategic thinking abilities, with a proven ability to lead cross-functional teams and work collaboratively to deliver innovative AI solutions in production
A passion for driving AI adoption and pushing the boundaries of AI technology into real-world applications, with an ability to mentor junior engineers and influence strategic decisions across the organization","Perks  Benefits","We offer Cresta employees a variety of medical, dental, and vision plans, designed to fit you and your familys needs
Paid parental leave to support you and your family
Monthly Health  Wellness allowance
Work from home office stipend to help you succeed in a remote environment
Lunch reimbursement for in-office employees 
PTO 3 weeks in Canada","Compensation for this position includes a base salary, equity, and a variety of benefits. Actual base salaries will be based on candidate-specific factors, including experience, skillset, and location, and local minimum pay requirements as applicable. We are actively hiring for this role in the US and Canada. Your recruiter can provide further details.","We have noticed a rise in recruiting impersonations across the industry, where scammers attempt to access candidates' personal and financial information through fake interviews and offers. All Cresta recruiting email communications will always come from the cresta.ai domain. Any outreach claiming to be from Cresta via other sources should be ignored.  If you are uncertain whether you have been contacted by an official Cresta employee, reach out to recruitingcresta.com.",,,,,,,,,
1878645,"Software Engineer (Romania)","https://job-boards.greenhouse.io/cresta/jobs/4145762008","Cresta","Cluj Romania","Yes","5","Full time","2025-02-05T02:10:37.182936Z","Cresta is excited to expand our operations to Romania and build a tech hub in the region. These early joiners will play a key role in establishing our engineering team in Romania, helping to shape the future of the site. We are a remote-first environment, offering opportunities to work with a global team across Europe, the US, and Canada. Over time, we aim to create a co-working space in Romania, moving towards a hybrid environment.","Join us on this thrilling journey to revolutionize the workforce with AI. The future of work is here, and it's at Cresta.","About your role","As a Senior Software Engineer, you will","Play a substantial role in the Cresta engineering team, focusing on building and continuously improving the Cresta platform to support new product requirements.
Collaborate with Cresta's product and engineering teams to develop high-quality, well-designed, reusable, and well-tested system components.
Stay closely aligned with customers and their requirements, analyzing technical trade-offs and owning customer-facing deliverables.
Optimize platform design and implementation for lower latency, higher throughput, better reliability, and cost reduction.
Demonstrate engineering best practices and uphold your team to the same high standards.
Grow into technical ownership of significant parts of Cresta's product and platform.
Contribute to building a best-in-class product and company.","Qualifications","Bachelor's degree in Computer Science or a related field.
5 years of experience in relevant domains.
Proficiency in designing and maintaining clear and robust APIs based on strong understanding of various protocols including gRPC, REST, WebSocket, etc.
Experience handling real-time streaming data (audio or video) with high throughput and low latency.
Familiarity with high-performance database schema design and query optimization.
Experience with containerized application deployment using Kubernetes.
Hands-on experience with one of the major cloud providers (AWS, GCP, or Azure).","Conclusion","Compensation for this position includes a base salary, equity, and a variety of benefits. Actual base salaries will be based on candidate-specific factors, including experience, skillset, and location, as well as applicable local pay requirements. We are actively hiring for this role in Romania, the US, and Canada. Your recruiter can provide further details.",,,,,,,,,,,,
1878644,"Software Engineer (Chat Agent)","https://job-boards.greenhouse.io/cresta/jobs/4062464008","Cresta","Toronto","Yes","3","Full time","2025-02-05T02:10:37.182966Z","Cresta is on a mission to turn every customer conversation into a competitive advantage by unlocking the true potential of the contact center. Our platform combines the best of AI and human intelligence to help contact centers discover customer insights and behavioral best practices, automate conversations and inefficient processes, and empower every team member to work smarter and faster. Born from the prestigious Stanford AI lab, Cresta's co-founder and chairman is Sebastian Thrun, the genius behind Google X, Waymo, Udacity, and more. Our leadership also includes CEO, Ping Wu, the co-founder of Google Contact Center AI and Vertex AI platform, and CTO  co-founder, Tim Shi, an early member of Open AI.","Weve assembled a world-class team of AI and ML experts, go-to-market leaders, and top-tier investors including Andreessen Horowitz, Greylock Partners, Sequoia, and former ATT CEO John Donovan. Our valued customers include brands like Intuit, Cox Communications, Hilton, and Carmax and weve been recognized by Forbes and Bain Consulting as one of the top private AI companies in the world.","Join us on this thrilling journey to revolutionize the workforce with AI. The future of work is here, and it's at Cresta.","As a Software engineer on the Chat Agent team, you will join a team full of talented experts in frontend, backend, and MLNLP. We have an in-house product for call analysis, building, evaluating, and deploying conversational AI models, and have labelers and analysts available. We work on a variety of ML problems, including but not limited to text generation, classification, summarization, etc. Our team leverages the latest in cutting edge LLM and GenAI technologies to enable a truly market differentiated product suite.","Collaborate with product managers, machine learning engineers, and other cross-functional team members to understand, define, and detail product requirements, ensuring alignment with business objectives.
Design, prototype, and validate LLM-based orchestration and workflow to automate repeated knowledge work involved in daily life of contact center agent
Work with our production teams to build and deploy scalable, high-performing, and reliable MLOps pipelines and systems that operate 24x7.
Actively contribute to the continuous improvement of our ML productivity, by identifying and leveraging opportunities for automation, data improvements, code optimization, and process enhancements.","Bachelors or Master's degree in Computer Science or related technical fields.
3 years of experience in software development, with a strong focus on workflow orchestration and MLOps .
Proficient in programming languages such as Python, Go. 
MLNLP libraries such as PyTorch, Tensorflow, Transformers will be a plus.
Familiar with machine learning model deployment and optimization using inference enginesservers (e.g., Triton Inference Server, ONNX Runtime) to support scalable and efficient real-time inference.
Solid understanding of software development principles, data structures, algorithms, and design patterns.
Familiarity with cloud platforms (e.g., AWS, Azure, GCP) and containerization technologies (e.g., Docker, Kubernetes)","Perks  Benefits","We offer Cresta employees a variety of medical, dental, and vision plans, designed to fit you and your familys needs
Paid parental leave to support you and your family
Monthly Health  Wellness allowance
Work from home office stipend to help you succeed in a remote environment
Lunch reimbursement for in-office employees 
PTO 3 weeks in Canada","Compensation for this position includes a base salary, equity, and a variety of benefits. Actual base salaries will be based on candidate-specific factors, including experience, skillset, and location, and local minimum pay requirements as applicable. We are actively hiring for this role in Canada. Your recruiter can provide further details.","We have noticed a rise in recruiting impersonations across the industry, where scammers attempt to access candidates' personal and financial information through fake interviews and offers. All Cresta recruiting email communications will always come from the cresta.ai domain. Any outreach claiming to be from Cresta via other sources should be ignored.  If you are uncertain whether you have been contacted by an official Cresta employee, reach out to recruitingcresta.com.",,,,,,,,,,,
1878643,"Software Engineer in Test","https://job-boards.greenhouse.io/cresta/jobs/4250044008","Cresta","Berlin","No","3","Full time","2025-02-05T02:10:37.182994Z","Cresta is on a mission to turn every customer conversation into a competitive advantage by unlocking the true potential of the contact center. Our platform combines the best of AI and human intelligence to help contact centers discover customer insights and behavioral best practices, automate conversations and inefficient processes, and empower every team member to work smarter and faster. Born from the prestigious Stanford AI lab, Cresta's co-founder and chairman is Sebastian Thrun, the genius behind Google X, Waymo, Udacity, and more. Our leadership also includes CEO, Ping Wu, the co-founder of Google Contact Center AI and Vertex AI platform, and CTO  co-founder, Tim Shi, an early member of Open AI.","Join us on this thrilling journey to revolutionize the workforce with AI. The future of work is here, and it's at Cresta.","About the Role","We are seeking a diligent and detail-oriented Software Engineer in Test to join our engineering team in Berlin, Germany. This role will be crucial in ensuring the robustness, scalability, and high quality of our software solutions, directly contributing to our mission of enhancing efficiency in call center operations.","Responsibilities","Design, develop, and execute test plans and test cases.
Identify gaps in product specifications essential for testing and propose solutions.
Automate key test cases using our Playwright automation framework with TypeScript.
Conduct manual testing of new features and complex cases, assessing potential for automation.
Maintain quality testing standards and procedures.
Plan, create, and manage testing environments.
Analyze and report test results, providing actionable insights.
Perform first-level analysis of customer-reported issues, including reproduction and log analysis (e.g., from Datadog).
Collaborate with the software development team for second-level analysis.
Contribute to product testing and decision-making for releases.
Work with cross-functional teams to promote quality throughout the software development lifecycle.
Explore new ways to increase test coverage across the whole organization.","Qualifications","BS or MS in Computer Science, Engineering, or a related technical discipline, or equivalent experience.
Minimum 3 years of software QA experience in SaaS environments, preferably focused on call center or customer service applications.
Proven experience in creating and implementing QA test plans and cases.
Proficiency with automation testing tools and methodologies.
Strong understanding of software QA methodologies, tools, and processes.
Excellent problem-solving skills and meticulous attention to detail.
Ability to engage with the product and test it from a user perspective, even when details are sparse.
Confidence to discuss and defend your ideas constructively.
Outstanding English communication skills, both written and verbal.","Compensation","Compensation for this position includes a base salary, equity, and a variety of benefits. Actual salaries will be based on candidate-specific factors, including experience, skills, and location, as well as applicable local minimum pay requirements. We are actively hiring for this role in Berlin. For further details, please consult your recruiter.","We have noticed a rise in recruiting impersonations across the industry, where scammers attempt to access candidates' personal and financial information through fake interviews and offers. All Cresta recruiting email communications will always come from the cresta.ai domain. Any outreach claiming to be from Cresta via other sources should be ignored.  If you are uncertain whether you have been contacted by an official Cresta employee, reach out to recruitingcresta.com.",,,,,,,,,,
1878638,"Software Engineer","https://job-boards.greenhouse.io/cresta/jobs/4343875008","Cresta","Toronto","No","2","Full time","2025-02-05T02:10:37.183022Z","COMPANY NAMECresta AI Canada Inc.","BUSINESS ADDRESS100 King Street West, 1 First Canadian Place, Suite 6200, Toronto, ON M5X 1E8","TERMS OF EMPLOYMENTFull-time, Temporary","LOCATION OF WORKHybrid (Location 1 Employees home Location 2 1 University Avenue 05-118, Toronto, ON M5J 2P1 Canada)","LANGUAGESEnglish","EDUCATIONBachelors degree in computer science, computer systems engineering, software engineering, or mathematics.","EXPERIENCE1 year to less than 2 years experience as a software engineer.","DUTIES Design, develop, and deploy Crestas AI Agent solutions and proprietary models. Focus on practical AI challenges such as improving reasoning, planning capabilities, and evaluation in real-world scenarios. Collaborate with cross-functional teams including front-end and back-end software engineers to integrate AI Agents into Crestas customer solutions. Lead initiatives to scale AI systems for production environments, ensuring performance and reliability across use cases. Contribute to solving cutting-edge problems in AI and help define the future roadmap for Crestas AI Agents. Innovate and research ways to improve security, cost-efficiency, and reliability of AI systems.","EXPERIENCE AND SPECIALIZATIONComputer and technology knowledge","Experience working with a Machine Learning Platform application Hands on experience in developing and working on generative AI applications in the past Proficiency in designing and maintaining APIs (gRPC, REST, WebSocket, etc.). Familiarity with high-performance database schema design and optimization. Experience with containerized application deployment (Kubernetes). Hands-on experience with major cloud providers (AWS, GCP, Azure).","BENEFITSDisability insurance, dental insurance, extended medical insurance, group benefit plan (Life  AD  D, Vision, Out of country Employee Assistance Program, Virtual health), option to purchase common shares, monthly employee wellness and communication spending money. Paid parental leave. 15 days paid leave days in Canada.","HOW TO APPLYBy email softwareengineercanada4da0f5538usflax.greenhouse.io","WAGE132,000 to 165,000 per annum, 40 hours per week","LI-DNI",,,,,,,
1878637,"Software Engineer","https://job-boards.greenhouse.io/cresta/jobs/4256311008","Cresta","Toronto","No","5","Full time","2025-02-05T02:10:37.183054Z","COMPANY NAMECresta AI Canada Inc.","BUSINESS ADDRESS100 King Street West, 1 First Canadian Place, Suite 6200, Toronto, ON M5X 1E8","TERMS OF EMPLOYMENTFull-time, Temporary","LOCATION OF WORKHybrid (Location 1 Employees home Location 2 1 University Avenue 05-118, Toronto, ON M5J 2P1 Canada)","LANGUAGESEnglish","EDUCATIONBachelors degree in computer science, computer systems engineering, software engineering, or mathematics.","EXPERIENCE5 years or more experience as a software engineer.","DUTIES Design, develop, and deploy Crestas AI Agent solutions and proprietary models. Focus on practical AI challenges such as improving reasoning, planning capabilities, and evaluation in real-world scenarios. Collaborate with cross-functional teams including front-end and back-end software engineers to integrate AI Agents into Crestas customer solutions. Lead initiatives to scale AI systems for production environments, ensuring performance and reliability across use cases. Contribute to solving cutting-edge problems in AI and help define the future roadmap for Crestas AI Agents. Innovate and research ways to improve security, cost-efficiency, and reliability of AI systems.","EXPERIENCE AND SPECIALIZATIONComputer and technology knowledge","Experience working with a Machine Learning Platform application Hands on experience in developing and working on generative AI applications in the past Proficiency in designing and maintaining APIs (gRPC, REST, WebSocket, etc.). Familiarity with high-performance database schema design and optimization. Experience with containerized application deployment (Kubernetes). Hands-on experience with major cloud providers (AWS, GCP, Azure).","BENEFITSDisability insurance, dental insurance, extended medical insurance, group benefit plan (Life  AD  D, Vision, Out of country Employee Assistance Program, Virtual health), option to purchase common shares, monthly employee wellness and communication spending money. Paid parental leave. 15 days paid leave days in Canada.","HOW TO APPLYBy email softwareengineercanadab790a4118usflax.greenhouse.io","WAGE170,000 to 200,000 per annum, 40 hours per week","LI-DNI",,,,,,,
