"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","Section_0","Section_1","Section_2","Section_3","Section_4","Section_5","Section_6","Section_7","Section_10","Section_8","Section_9","Section_11","Section_12","Section_13","Section_14","Section_15","Section_16","Section_17","Section_18","Section_19"
2210684,"Director of Growth  Acquisition Marketing","https://job-boards.greenhouse.io/fartherfinance/jobs/4516689005","Farther","Dallas","No","8","Full time","2025-02-05T02:33:01.513563Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","We're seeking an innovative leader to build and scale our client growth engine, focusing on acquisition excellence and marketing efficiency. This role will be instrumental in developing and implementing programs that drive client growth, optimize acquisition channels, and enhance Farther's market presence while working in close partnership with our Advisor Success Platform team.","As one of the early members of our growing marketing team, you'll have a unique opportunity to shape our culture, establish new ways of working, and define how marketing drives impact across the organization. This is a rare chance to build something from the ground up while working alongside seasoned fintech leaders.","Serve as a strategic leader in marketing, bringing both high-level vision and hands-on execution capabilities to drive growth
Design and implement comprehensive growth marketing programs that drive client acquisition and advisor lead generation
Create scalable frameworks for marketing operations, including campaign optimization and marketing technology adoption
Develop and execute multi-channel marketing strategies focused on high-net-worth client acquisition and advisor recruitment
Build and maintain performance metrics and KPIs to track acquisition success and marketing ROI
Lead the creation of marketing playbooks and resource libraries for consistent campaign execution
Partner with technology teams to identify and implement tools that enhance marketing efficiency
Establish testing frameworks to accelerate campaign optimization
Create systematic approaches to identify and scale successful acquisition channels
Be a key voice in building marketing team culture, processes, and best practices as we scale","8 years of experience in growth marketing or acquisition marketing, preferably in wealth management, fintech, or a relevant market with a niche offering and audience
Proven track record of designing and implementing successful growth marketing programs
Experience leading and developing high-performing teams, with strong mentorship abilities
Deep understanding of marketing operations and technology
Experience leading organizational change and driving adoption of new marketing processes
Strong analytical skills with the ability to translate data into actionable insights
Excellence in relationship building and stakeholder management
Bachelor's degree required relevant advanced degree preferred","Previous experience at a hybrid or tech-forward wealth management firm
Track record of scaling marketing programs to drive revenue
Experience with marketing automation and Hubspot CRM platform
Background in financial services marketing
Relevant certifications (CFA, CIMA, etc.)
Experience with modern marketing analytics tools and platforms",,"Competitive comp package that rewards impact
Work alongside some of the brightest minds in fintech
Ground-floor opportunity at a fast-scaling startup
Chart your own growth path as we expand
Full health benefits  401(k) matching  Roth IRA options
Unlimited PTO",,,,,,,,,,
2210681,"Director of Growth  Acquisition Marketing","https://job-boards.greenhouse.io/fartherfinance/jobs/4516470005","Farther","Remote","Yes","8","Full time","2025-02-05T02:33:01.513607Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","We're seeking an innovative leader to build and scale our client growth engine, focusing on acquisition excellence and marketing efficiency. This role will be instrumental in developing and implementing programs that drive client growth, optimize acquisition channels, and enhance Farther's market presence while working in close partnership with our Advisor Success Platform team.","As one of the early members of our growing marketing team, you'll have a unique opportunity to shape our culture, establish new ways of working, and define how marketing drives impact across the organization. This is a rare chance to build something from the ground up while working alongside seasoned fintech leaders.","Serve as a strategic leader in marketing, bringing both high-level vision and hands-on execution capabilities to drive growth
Design and implement comprehensive growth marketing programs that drive client acquisition and advisor lead generation
Create scalable frameworks for marketing operations, including campaign optimization and marketing technology adoption
Develop and execute multi-channel marketing strategies focused on high-net-worth client acquisition and advisor recruitment
Build and maintain performance metrics and KPIs to track acquisition success and marketing ROI
Lead the creation of marketing playbooks and resource libraries for consistent campaign execution
Partner with technology teams to identify and implement tools that enhance marketing efficiency
Establish testing frameworks to accelerate campaign optimization
Create systematic approaches to identify and scale successful acquisition channels
Be a key voice in building marketing team culture, processes, and best practices as we scale","8 years of experience in growth marketing or acquisition marketing, preferably in wealth management, fintech, or a relevant market with a niche offering and audience
Proven track record of designing and implementing successful growth marketing programs
Experience leading and developing high-performing teams, with strong mentorship abilities
Deep understanding of marketing operations and technology
Experience leading organizational change and driving adoption of new marketing processes
Strong analytical skills with the ability to translate data into actionable insights
Excellence in relationship building and stakeholder management
Bachelor's degree required relevant advanced degree preferred","Previous experience at a hybrid or tech-forward wealth management firm
Track record of scaling marketing programs to drive revenue
Experience with marketing automation and Hubspot CRM platform
Background in financial services marketing
Relevant certifications (CFA, CIMA, etc.)
Experience with modern marketing analytics tools and platforms",,"Competitive comp package that rewards impact
Work alongside some of the brightest minds in fintech
Ground-floor opportunity at a fast-scaling startup
Chart your own growth path as we expand
Full health benefits  401(k) matching  Roth IRA options
Unlimited PTO",,,,,,,,,,
2061904,"Trading Operations Analyst","https://job-boards.greenhouse.io/fartherfinance/jobs/4511660005","Farther","Dallas","No","2","Full time","2025-02-05T02:33:01.513652Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","As a Trading Analyst at Farther, you'll be at the intersection of our wealth management and technology platforms, ensuring flawless execution of our clients' investment strategies. You'll work with our expert advisors and cutting-edge systems to optimize trade processing while maintaining the highest standards of accuracy and efficiency. This role is perfect for someone who combines strong market knowledge with exceptional attention to detail and a passion for process improvement.","Drive excellence in trade execution by processing requests with precision and managing the complete trade lifecycle from order to settlement
Develop and maintain robust reconciliation processes, ensuring accurate trade and position records across all platforms
Lead investigations into trade discrepancies, collaborating with custodians and counterparties to resolve issues promptly
Create and enhance operational controls to minimize risk and maximize efficiency in our trading operations
Partner with financial advisors to provide expert trading support and market insights
Contribute to the evolution of our trading systems by identifying opportunities for automation and improvement
Build and maintain strong relationships with external partners, including custodians and trading platforms","Bachelor's degree in Finance, Economics, Business, or related field
2 years of hands-on experience in trade operations or similar role within wealth management
Deep understanding of financial markets, trading mechanics, and settlement processes
Strong technical aptitude with experience using major trading platforms and financial software
Exceptional problem-solving skills with a data-driven approach
Detail-oriented mindset with strong organizational capabilities
Excellent written and verbal communication skills","Series 7, 63, or other relevant FINRA licenses
Experience with major custodial platforms (Schwab, Fidelity, etc.)
Background in process automation or system implementation
Knowledge of portfolio management systems
Experience in a fast-paced fintech environment","Competitive comp package that rewards impact
Work alongside some of the brightest minds in fintech
Ground-floor opportunity at a fast-scaling startup
Chart your own growth path as we expand
Full health benefits  401(k) matching  Roth options
Unlimited PTO",,,,,,,,,,,,
2061903,"Paraplanner","https://job-boards.greenhouse.io/fartherfinance/jobs/4510574005","Farther","Dallas","No","1","Full time","2025-02-05T02:33:01.513702Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","As a Paraplanner on the Client Experience team, you will play a crucial role in supporting our financial advisors and enhancing the client experience through detailed financial planning support and analysis. You'll work at the intersection of client service and technical financial planning, helping to create and maintain comprehensive financial plans while supporting our advisors in delivering exceptional wealth management services. This position offers an opportunity to grow within the industry while contributing to the evolution of modern wealth management.","Develop and maintain comprehensive financial plans under the guidance of senior advisors and others members of the Financial Planning team
Conduct in-depth research on financial products, investment opportunities, and market trends
Prepare detailed financial analyses including cash flow projections, retirement scenarios, and risk assessments
Create and maintain client financial planning documentation and reports
Support advisors in preparing for client meetings by gathering and analyzing relevant financial data
Collaborate with the operations team to ensure smooth execution of client financial strategies
Assist in monitoring and rebalancing client portfolios as needed
Identify opportunities to improve financial planning processes and client experience
Stay current with financial planning software and technology platforms
Maintain detailed records of client interactions and planning decisions","Bachelor's degree in Finance, Economics, Business, or related field
1-3 years of experience in financial services or wealth management
Strong analytical and quantitative skills
Excellent attention to detail and organizational abilities
Proficiency with financial planning software and Microsoft Office Suite
Outstanding written and verbal communication skills
Ability to manage multiple projects while maintaining accuracy and meeting deadlines
Team player mentality with a client-first approach","Progress toward or completion of CFP certification
Experience working directly with clients
Familiarity with financial planning software such as Right Capital, eMoney or MoneyGuidePro
Experience with major custodial platforms (Charles Schwab, Fidelity, or Pershing)
Knowledge of tax and estate planning concepts
Experience in a RIA or wealth management firm
Series 65 license or ability to obtain within 90 days","Competitive comp package that rewards impact
Work alongside some of the brightest minds in fintech
Ground-floor opportunity at a fast-scaling startup
Chart your own growth path as we expand
Full health benefits  401(k) matching  Roth options
Unlimited PTO",,,,,,,,,,,,
2052359,"Director of Engineering, FIT","https://job-boards.greenhouse.io/fartherfinance/jobs/4511388005","Farther","New York","No","12","Full time","2025-02-05T02:33:01.513748Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","As Director of Engineering for the Financial Investment Technology team, you will lead and scale a high-performing engineering organization responsible for critical domains including portfolio management, trade generation, account rebalancing, and operational systems. Your team builds and maintains our platform using React, TypeScript, Bun, and CockroachDB, while working closely with Product and Design to drive innovation. You'll shape technical strategy, mentor engineering leaders, and play a key role in scaling both our technology and our team.","Drive technical vision and architecture decisions across the investment technology platform
Foster a culture of engineering excellence that balances quick delivery with sustainable architecture
Partner with Product and Design leadership to shape and execute our technology roadmap
Establish and refine engineering processes that enable rapid, reliable delivery while maintaining our startup speed
Guide technical decisions around architecture, technology adoption, and technical debt management
Develop and mentor technical leaders within the organization
Build and scale high-performing engineering teams through effective recruiting, coaching, and talent development","12 years of engineering experience with a strong background in building and scaling production systems
5-10 years of experience managing and leading technical teams in fast-paced environments
Financial domain expertise in trading systems, wealth management, or adjacent fields
Proven track record of recruiting, assessing, and developing world-class engineering talent
Grit. You inspire your team through example, staying engaged in critical projects until completion and diving deep when needed. You understand when to roll up your sleeves and when to empower your team, and you're committed to delivering exceptional results regardless of the challenges. 
Bias for action. You drive decisive action in ambiguous situations, making informed decisions with incomplete information. You're comfortable leading rapid iteration cycles and creating an environment where your team can move quickly while maintaining quality.
Embrace of change. As a startup leader, you thrive in evolving environments and guide your team through significant transitions - from scaling infrastructure to adopting new technologies. You have experience leading organizational change while maintaining team productivity and morale. You embrace the startup chaos.
Active communication. You set the standard for transparent, proactive communication across the organization. From crafting clear technical strategies to maintaining active engagement in Slack, you create a culture of open dialogue and written documentation. You excel at communicating complex technical concepts to diverse audiences and building bridges between technical and non-technical stakeholders.","Startup leadership experience scaling engineering organizations from early to growth stage
Deep expertise in financial systems, particularly in portfolio management or trading
Track record of innovation in fintech or wealth management
Experience leading geographically distributed engineering teams","Everything you need to build the perfect dev station from hardware to software
Learn  grow through book clubs, seminars, and peer learning sessions
Full health benefits  401(k) matching  Roth 401K options
Unlimited PTO
An amazing collaborative atmosphere between product, design, and engineering to solve hard problems together
We dont use Jira!",,,,,,,,,,,,
2028561,"Senior Legal Counsel","https://job-boards.greenhouse.io/fartherfinance/jobs/4509421005","Farther","San Francisco","No","7","Full time","2025-02-05T02:33:01.513814Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","Reporting directly to the CFO, the Senior Legal Counsel will serve as a key strategic partner in Farther's growth journey. This role combines broad in-house counsel responsibilities with specific expertise in wealth management, securities law, and fintech regulations. You'll work closely with leadership to navigate complex legal and regulatory requirements while supporting our rapid scaling.","Serve as primary legal counsel for all company matters, providing strategic guidance to leadership on legal risks and opportunities
Lead the development and implementation of legal policies, procedures, and frameworks to support company growth
Oversee all aspects of regulatory compliance, including SEC, FINRA, and state requirements
Structure and negotiate complex commercial agreements, including vendor contracts, partnership agreements, and MA transactions
Manage relationships with outside counsel and regulatory bodies
Advise on corporate governance matters and maintain corporate records
Guide the company through financing rounds and maintain relationships with investors
Develop and maintain compliance programs and training materials","JD from a top-tier law school with 7 years of relevant legal experience
Active membership in good standing with at least one state bar
Significant experience in financial services, specifically in wealth management, investment advisory, or fintech
Deep understanding of securities laws, SEC regulations, and FINRA requirements
Experience supporting high-growth companies through various stages of development
Strong business acumen with ability to balance legal risk with business objectives
Excellence in drafting and negotiating complex agreements
Experience managing outside counsel relationships","Prior in-house experience at a wealth management firm or fintech company
Experience with MA transactions and corporate development
Series 7, 24, or 66 licenses
Background in privacy law and data protection
Experience with venture capital financing rounds
Knowledge of cryptocurrency and digital asset regulations","Competitive comp package that rewards impact
Work alongside some of the brightest minds in fintech
Ground-floor opportunity at a fast-scaling startup
Chart your own growth path as we expand
Full health benefits  401(k) matching  Roth options
Unlimited PTO",,,,,,,,,,,,
2028560,"Senior Legal Counsel","https://job-boards.greenhouse.io/fartherfinance/jobs/4509420005","Farther","Dallas","No","7","Full time","2025-02-05T02:33:01.513877Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","Reporting directly to the CFO, the Senior Legal Counsel will serve as a key strategic partner in Farther's growth journey. This role combines broad in-house counsel responsibilities with specific expertise in wealth management, securities law, and fintech regulations. You'll work closely with leadership to navigate complex legal and regulatory requirements while supporting our rapid scaling.","Serve as primary legal counsel for all company matters, providing strategic guidance to leadership on legal risks and opportunities
Lead the development and implementation of legal policies, procedures, and frameworks to support company growth
Oversee all aspects of regulatory compliance, including SEC, FINRA, and state requirements
Structure and negotiate complex commercial agreements, including vendor contracts, partnership agreements, and MA transactions
Manage relationships with outside counsel and regulatory bodies
Advise on corporate governance matters and maintain corporate records
Guide the company through financing rounds and maintain relationships with investors
Develop and maintain compliance programs and training materials","JD from a top-tier law school with 7 years of relevant legal experience
Active membership in good standing with at least one state bar
Significant experience in financial services, specifically in wealth management, investment advisory, or fintech
Deep understanding of securities laws, SEC regulations, and FINRA requirements
Experience supporting high-growth companies through various stages of development
Strong business acumen with ability to balance legal risk with business objectives
Excellence in drafting and negotiating complex agreements
Experience managing outside counsel relationships","Prior in-house experience at a wealth management firm or fintech company
Experience with MA transactions and corporate development
Series 7, 24, or 66 licenses
Background in privacy law and data protection
Experience with venture capital financing rounds
Knowledge of cryptocurrency and digital asset regulations","Competitive comp package that rewards impact
Work alongside some of the brightest minds in fintech
Ground-floor opportunity at a fast-scaling startup
Chart your own growth path as we expand
Full health benefits  401(k) matching  Roth options
Unlimited PTO",,,,,,,,,,,,
2028559,"Senior Legal Counsel","https://job-boards.greenhouse.io/fartherfinance/jobs/4509200005","Farther","New York","No","7","Full time","2025-02-05T02:33:01.513923Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","Reporting directly to the CFO, the Senior Legal Counsel will serve as a key strategic partner in Farther's growth journey. This role combines broad in-house counsel responsibilities with specific expertise in wealth management, securities law, and fintech regulations. You'll work closely with leadership to navigate complex legal and regulatory requirements while supporting our rapid scaling.","Serve as primary legal counsel for all company matters, providing strategic guidance to leadership on legal risks and opportunities
Lead the development and implementation of legal policies, procedures, and frameworks to support company growth
Oversee all aspects of regulatory compliance, including SEC, FINRA, and state requirements
Structure and negotiate complex commercial agreements, including vendor contracts, partnership agreements, and MA transactions
Manage relationships with outside counsel and regulatory bodies
Advise on corporate governance matters and maintain corporate records
Guide the company through financing rounds and maintain relationships with investors
Develop and maintain compliance programs and training materials","JD from a top-tier law school with 7 years of relevant legal experience
Active membership in good standing with at least one state bar
Significant experience in financial services, specifically in wealth management, investment advisory, or fintech
Deep understanding of securities laws, SEC regulations, and FINRA requirements
Experience supporting high-growth companies through various stages of development
Strong business acumen with ability to balance legal risk with business objectives
Excellence in drafting and negotiating complex agreements
Experience managing outside counsel relationships","Prior in-house experience at a wealth management firm or fintech company
Experience with MA transactions and corporate development
Series 7, 24, or 66 licenses
Background in privacy law and data protection
Experience with venture capital financing rounds
Knowledge of cryptocurrency and digital asset regulations","Competitive comp package that rewards impact
Work alongside some of the brightest minds in fintech
Ground-floor opportunity at a fast-scaling startup
Chart your own growth path as we expand
Full health benefits  401(k) matching  Roth options
Unlimited PTO",,,,,,,,,,,,
2028558,"Retiring Advisor MA Manager","https://job-boards.greenhouse.io/fartherfinance/jobs/4509141005","Farther","Remote","Yes","Not specified","Full time","2025-02-05T02:33:01.513966Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","With 7 billion in assets under management, we've achieved significant growth through advisor recruitment and are now expanding our business strategy to include practice acquisitions. Our technology platform enables us to serve clients more effectively and cost-efficiently, offering advisors who join Farther as employees a high payout of wealth advisory fees while maintaining low personnel costs for acquired practices.","This role combines corporate development expertise with deep industry knowledge to drive Farther's acquisition strategy within the RIA space. You'll be responsible for identifying, evaluating, and executing MA opportunities with retiring advisors and RIA firms, particularly focusing on the top 20 RIA aggregators.","Lead end-to-end MA processes, from target identification through deal execution and integration
Strategically build the industry's best acquisition go-to-market strategy, leveraging the Farther platform
Develop compelling business cases for sellers while generating strong economics for the company
Build and maintain relationships with key stakeholders in the top 20 RIA aggregators
Create comprehensive valuation models and conduct thorough due diligence on potential acquisitions
Structure and negotiate complex deal terms that align with Farther's strategic objectives
Design and implement post-merger integration strategies to ensure successful transitions
Collaborate with operations, product, recruiting, finance, legal, and compliance teams to execute deals efficiently
Build an industry network and cement Farther as the acquirer of choice","8 years of relevant experience in business development, corporate development, MA advisory, private equity, or investment banking
MBA from a top-tier institution
Strong understanding of finance principles and deal construction
Proven track record in executing MA transactions
Excellence in relationship building and stakeholder management
Strong financial modeling and valuation skills
Demonstrated ability to communicate persuasively and discuss economics with potential sellers
Resilient and results-oriented approach
Series 7 and 63 licenses preferred","Previous experience at a private bank or RIA aggregator
Direct experience with succession planning for financial advisors
Background in wealth management operations or technology
Experience with post-merger integration
Network within the top 20 RIA aggregators
Additional relevant certifications (CFA, CFP, etc.)
Industry experience (helpful but not required)",,"Competitive comp package that rewards impact
Work alongside some of the brightest minds in fintech
Ground-floor opportunity at a fast-scaling startup
Chart your own growth path as we expand
Full health benefits  401(k) matching  Roth options
Unlimited PTO",,,,,,,,,,
2025515,"FAM Portfolio Manager","https://job-boards.greenhouse.io/fartherfinance/jobs/4509162005","Farther","Remote","Yes","10","Full time","2025-02-05T02:33:01.514009Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","We're seeking an experienced Portfolio Manager to lead the development and management of our separately managed account (SMA) strategies across multiple asset classes. This role will be instrumental in building and managing sophisticated investment solutions, with a particular focus on tax-aware and direct indexing strategies.","Lead the development and management of SMA strategies across asset classes, with emphasis on tax-aware and direct indexing approaches
Design and implement quantitative investment solutions that deliver superior client outcomes
Build and maintain systematic portfolio management processes and frameworks
Create and communicate clear investment rationales and methodologies
Collaborate with technology teams to implement and scale investment strategies
Partner with client-facing teams to articulate investment approaches and portfolio decisions
Drive innovation in portfolio customization and tax management strategies",,"10-15 years of experience at a prestigious asset management firm, particularly in roles focused on quantitative investment solutions or multi-asset portfolio management
Proven track record managing tax-aware equity strategies or direct indexing portfolios
Experience working at leading global asset management firms serving private wealth clients
Deep expertise in portfolio construction, risk management, and quantitative methods
Strong technical background with understanding of systematic investment approaches
Excellence in communicating complex investment concepts to various stakeholders
Bachelor's degree required advanced degree in relevant field preferred
CFA designation preferred","Experience launching and scaling new investment strategies
Background in multi-asset class portfolio solutions
Track record of mentoring junior investment professionals
Expertise in ESG integration and custom portfolio solutions
Experience with portfolio management systems and investment technology
Published research or thought leadership in relevant areas",,"Competitive comp package that rewards impact
Work alongside some of the brightest minds in fintech
Ground-floor opportunity at a fast-scaling startup
Chart your own growth path as we expand
Full health benefits  401(k) matching  Roth 401K options
Unlimited PTO",,,,,,,,,,
1756253,"Client Experience Associate, WealthFactor Team","https://job-boards.greenhouse.io/fartherfinance/jobs/4483448005","Farther","Lake Oswego, OR","No","5","Full time","2025-02-05T02:33:01.514050Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","This position is a full-time on-site position in our Lake Oswego office.","Were looking for a Client Experience Associate to join the WealthFactor team at Farther. WealthFactor prides themselves on providing personalized, holistic wealth management that optimizes for risk, fees, and taxes. They are a fee-only fiduciary firm that puts their clients first, offering expert advice to help them steward their wealth well. WealthFactor believes in delivering top-tier expertise in the most personalized way. Join them, and be part of a team that is efficient, realistic, and adept at optimizing wealth for our clients.","The ideal candidate should have at least 5 years of hands-on custodial experience using Schwab and Black Diamond. Familiarity with Right Capital is a plus. We value team members who are servant-hearted, detail-oriented, and thrive in an asynchronous collaborative environment.","Documentation and Compliance Prepare and maintain accurate and up-to-date client files, facilitate the completion of forms and electronic processes with clients and our custodians. 
Black Diamond Portfolio Accounting and Reporting Support the maintenance of  our systems, data and reports.
Financial Planning Support Collaborate with our team of experts and planners.  Keeping good organized records for our prospects and clients.
Client Interaction Participate in client communications, focusing on understanding the client, their situation and the actionable items that come out of those interactions. Launch and monitor the task actions needed to execute client actions.
Meeting Support Organize and prepare responses for client inquiries and provide support during meetings
Compliance Ensure compliance with regulatory requirements and internal policies","5 years working for a fee-only independent RIA
5 years working with Schwab andor Fidelity
5 years experience with Black Diamond
Proficiency with G-Suite is required
Bachelor's degree in Finance, Business, or related field Preferred
Certified Financial Planner (CFP) Certification a plus
Exceptional attention to detail.
Task Management Strong ability to manage and track diverse tasks, involving multiple stakeholders, through to completion.
Strong electronic and verbal communication skills.
Team Player Collaborative mindset with the ability to work effectively within a team environment.",,"Competitive comp package that rewards impact
Work alongside some of the brightest minds in fintech
Ground-floor opportunity at a fast-scaling startup
Chart your own growth path as we expand
Full health benefits  401(k) matching  Roth options
Unlimited PTO",,,,,,,,,,
1731547,"Performance Marketing Associate","https://job-boards.greenhouse.io/fartherfinance/jobs/4481327005","Farther","Dallas","No","3","Full time","2025-02-05T02:33:01.514093Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","We're seeking a Digital Performance Marketing Associate to join our growing marketing team. This role combines hands-on digital paid marketing execution with strategic thinking to support our client and advisor acquisition initiatives. Working within a distributed team across major US cities, you'll help scale our marketing operations while maintaining the high-touch experience our clients expect.","Execute and optimize digital advertising campaigns across multiple channels (programmatic, SEM, paid social, display) to drive growth
Create and analyze marketing performance reports to provide actionable insights for continuous improvement
Support sales enablement initiatives and tool development to enhance our advisor teams' effectiveness
Collaborate with our HubSpot administrators to implement marketing automation and optimize CRM usage
Work cross-functionally with our distributed team members to drive marketing initiatives forward","3 years of digital marketing experience (we're flexible based on capability and drive)
Proven experience managing digital advertising campaigns across multiple channels (Paid Social, SEM, Programmatic, Display) y) - from building campaigns to reporting and optimization to achieve goals
Strong foundation in marketing analytics platforms (Google Analytics or similar) with the ability to derive and communicate meaningful insights
Experience with CRM platforms, with a problem-solving mindset to learn and optimize our marketing automations and reporting
Excellent project management skills with the ability to handle multiple priorities in a fast-paced environment
Strong collaboration skills and ability to work effectively with a distributed team
Self-starter mentality with a drive to dig deep for solutions
Experience working in a fast-paced, growth-oriented environment","Experience creating automations and reports in HubSpot or similar platforms
Background in financial services, VC-backed companies, or marketing agencies
Familiarity with content management systems (Webflow, WordPress)
Experience working with advisor or sales teams","Competitive comp package that rewards impact
Work alongside some of the brightest minds in fintech
Ground-floor opportunity at a fast-scaling startup
Chart your own growth path as we expand
Full health benefits  401(k) matching  Roth IRA options
Unlimited PTO",,,,,,,,,,,,
